N,c_BDI,c_AZE,BDI_d1,BDI_d2,BDI_d3,BDI_d4,AZE_d1,AZE_d2,AZE_d3,AZE_d4,AZE_d5,BDI_fit_cubic,AZE_fit_quartic
0,1,1,1,2,-1,2,1,2,-1,3,-6,0.9999999999993467,1.0000000000078644
1,2,2,3,1,1,-1,3,1,2,-3,7,1.9999999999993512,1.9999999999979996
2,5,5,4,2,0,1,4,3,-1,4,-9,4.999999999999067,5.0000000000077955
3,9,9,6,2,1,-2,7,2,3,-5,11,9.000000000000622,8.99999999999438
4,15,16,8,3,-1,3,9,5,-2,6,-12,14.999999999998467,15.999999999999726
5,23,25,11,2,2,-3,14,3,4,-6,12,22.999999999999282,25.000000000001993
6,34,39,13,4,-1,2,17,7,-2,6,-12,33.99999999999915,39.00000000000117
7,47,56,17,3,1,-1,24,5,4,-6,13,46.99999999999987,55.999999999999226
8,64,80,20,4,0,1,29,9,-2,7,-15,63.999999999999766,80.00000000000212
9,84,109,24,4,1,-2,38,7,5,-8,17,84.00000000000011,109.0
10,108,147,28,5,-1,3,45,12,-3,9,-18,107.99999999999987,147.00000000000065
11,136,192,33,4,2,-3,57,9,6,-9,18,136.00000000000014,192.00000000000043
12,169,249,37,6,-1,2,66,15,-3,9,-18,168.99999999999932,248.99999999999946
13,206,315,43,5,1,-1,81,12,6,-9,19,206.00000000000009,314.9999999999999
14,249,396,48,6,0,1,93,18,-3,10,-21,248.99999999999997,396.00000000000165
15,297,489,54,6,1,-2,111,15,7,-11,23,297.00000000000006,489.00000000000057
16,351,600,60,7,-1,3,126,22,-4,12,-24,351.0000000000004,600.0000000000003
17,411,726,67,6,2,-3,148,18,8,-12,24,411.0000000000001,726.0000000000005
18,478,874,73,8,-1,2,166,26,-4,12,-24,477.9999999999997,873.9999999999994
19,551,1040,81,7,1,-1,192,22,8,-12,25,551.0000000000002,1040.0000000000005
20,632,1232,88,8,0,1,214,30,-4,13,-27,631.9999999999998,1232.0000000000027
