N,c_BDI,c_AII,exact_BDI,exact_AII
0,1,1,1,1
1,2,2,1,1
2,5,5,3,3
3,9,9,4,4
4,15,16,6,7
5,23,25,8,9
6,34,39,11,14
7,47,56,13,17
8,64,80,17,24
9,84,109,20,29
10,108,147,24,38
11,136,192,28,45
12,169,249,33,57
13,206,315,37,66
14,249,396,43,81
15,297,489,48,93
16,351,600,54,111
17,411,726,60,126
18,478,874,67,148
19,551,1040,73,166
20,632,1232,81,192
21,720,1446,88,214
22,816,1690,96,244
23,920,1960,104,270
24,1033,2265,113,305
25,1154,2600,121,335
26,1285,2975,131,375
27,1425,3385,140,410
28,1575,3840,150,455
29,1735,4335,160,495
30,1906,4881,171,546
31,2087,5472,181,591
32,2280,6120,193,648
33,2484,6819,204,699
34,2700,7581,216,762
35,2928,8400,228,819
36,3169,9289,241,889
37,3422,10241,253,952
38,3689,11270,267,1029
39,3969,12369,280,1099
40,4263,13552,294,1183
41,4571,14812,308,1260
42,4894,16164,323,1352
43,5231,17600,337,1436
44,5584,19136,353,1536
45,5952,20764,368,1628
46,6336,22500,384,1736
47,6736,24336,400,1836
48,7153,26289,417,1953
49,7586,28350,433,2061
50,8037,30537,451,2187
51,8505,32841,468,2304
52,8991,35280,486,2439
53,9495,37845,504,2565
54,10018,40555,523,2710
55,10559,43400,541,2845
56,11120,46400,561,3000
57,11700,49545,580,3145
58,12300,52855,600,3310
59,12920,56320,620,3465
60,13561,59961,641,3641
61,14222,63767,661,3806
62,14905,67760,683,3993
63,15609,71929,704,4169
64,16335,76296,726,4367
65,17083,80850,748,4554
66,17854,85614,771,4764
67,18647,90576,793,4962
68,19464,95760,817,5184
69,20304,101154,840,5394
70,21168,106782,864,5628
71,22056,112632,888,5850
72,22969,118729,913,6097
73,23906,125060,937,6331
74,24869,131651,963,6591
75,25857,138489,988,6838
76,26871,145600,1014,7111
77,27911,152971,1040,7371
78,28978,160629,1067,7658
79,30071,168560,1093,7931
80,31192,176792,1121,8232
